Company	DS Correct	ET Correct	Count	Num Types	Num MealTypes
p0013877h8fr	354	315	364	64	18
p003908626gx	462	297	519	77	9
p0036515t4s8	188	178	203	52	6
p00090039nq3	148	148	156	19	4
p0095287ubpa	39	36	41	97	20
p0034686nw4d	15	13	17	44	6
p0061917jyck	24	21	25	35	5
p0063971popx	284	277	309	35	3
p0008523tspn	301	220	320	38	5
p0097780k2fi	33	18	62	95	12
p0079755a3kn	51	35	57	54	9
p00864923bx5	3	3	12	81	3
p0088313emxo	41	21	59	56	9
p0073847ala6	6	0	7	56	6
p0097538mjox	2	0	10	74	5
p0091590erqt	53	52	135	95	23
p0024625lr2p	4	4	4	129	12
p0091018w342	314	216	411	68	10
p0002980chvb	96	78	110	52	8
p0093843l3e2	380	315	417	58	14
p0078621zqjz	114	101	131	55	10
p0008667cqod	4	3	6	33	7
p0080040xdi7	3	3	4	68	13
p0099042pf8d	253	180	267	43	7
p0091567facj	73	57	75	35	5
p0095669xmqo	446	267	482	76	13
p0083770kbno	9	8	11	72	12
p0015160rhvy	216	148	260	60	10
p0076445a79l	30	27	31	63	8
p0057599wuqp	13	10	18	75	16
p0094132pit8	20	16	20	55	9
p0000919ablo	102	75	120	79	11
p00766173civ	27	37	48	76	6
p0072270nvpb	5	1	11	53	9
p0069158sneh	5	2	6	96	11
p00075018rmf	4	3	4	62	11
p0092447hix4	62	50	64	106	25
p0081708vwo6	12	10	12	60	15
p00993327egp	116	112	119	48	8
p0007778gmhf	5	3	5	137	14
p0028361cj8b	119	72	126	117	27
p0086055rsvi	51	42	64	54	5
p0091951ukfg	91	60	100	63	10
p0083735hkrc	460	424	495	40	5
p00118354yzs	86	56	132	64	12
p0003598yxqm	82	65	90	55	9
p0099800ctum	46	43	47	37	6
p0008961vkl6	1	0	1	43	8
p0006886oaxc	350	252	379	63	8
p00147294hfc	31	16	37	140	14
p0097275tvhz	16	10	16	75	14
p0063681qabu	46	43	56	48	5
p0093806jych	26	15	28	100	13
p00525894efz	59	50	60	39	11
p0083941b2ib	61	43	61	49	8
p0090562jfns	56	37	61	59	13
p0081050bn7m	662	438	744	112	11
p0006920flih	25	20	29	31	7
p0001770ga8o	84	41	106	64	9
p0098101b9yh	1	1	1	104	13
p0093037y829	331	234	352	37	11
p008549965kl	44	28	48	54	9
p0027745lz6s	49	40	51	63	7
p0011172napo	10	8	14	36	6
p0091452gceu	138	94	151	51	11
p0006035wdi7	94	30	114	61	8
p0012334knck	1	0	2	36	6
p0088405ma4b	28	24	28	63	10
p0059568auoa	7	7	10	57	10
p0091449979v	419	299	452	83	14
p000458347j7	14	8	15	60	11
p0087482y6tw	1	1	4	78	6
p00063463d72	6	5	6	36	10
p0043881eyai	28	24	28	66	9
p0098171nqdu	125	97	162	49	6
p0046616tcao	18	15	21	80	10
p0085778754u	1120	781	1200	56	10
p00991455bhl	4	4	4	65	12
p0074501voil	162	104	187	48	9
p0088297gl7d	90	70	103	60	13
p0005377tho2	488	352	526	76	11
p0091133nehe	32	30	50	66	9
p00077593p5y	6	4	7	59	10
p0001657yskw	266	201	283	60	10
p00539038t6n	111	57	151	63	7
p0059045rono	1	1	1	40	6
p0090936jg6n	1	0	9	604	66
p0030587ufrp	14	13	18	48	12
p0012804wjqh	9	5	9	60	10
p0003527gkfz	303	271	347	84	5
p0096049cga3	1	0	1	43	10
p00669965tbf	26	22	28	58	7
p0059940e6cy	112	69	125	62	8
p0070220zjnk	882	644	905	49	8
p0059921qiad	10	9	10	47	4
p0009035thzq	2	2	2	34	5
p0026262wftd	25	14	46	85	15
p0073937jobo	117	112	142	51	4
p0002043tzwi	158	109	165	105	8
p0062391hch9	183	140	294	67	5
p0002628xkxb	4	1	4	139	16
p0002094bnbl	0	0	1	49	6
